Bigram,Freq
צס,0.0007239382239382239
בע,0.0012065637065637065
ח,0.0026544401544401543
ם‎,0.004343629343629344
זנ,0.00555019305019305
צ,0.0065154440154440154
פ,0.004343629343629344
ח‏,0.0074806949806949805
הנ,0.005067567567567568
צף,0.01085907335907336
בף,0.008204633204633204
ס,0.0065154440154440154
צ,0.0014478764478764478
ף,0.02171814671814672
‏ך,0.013272200772200772
םא,0.0009652509652509653
זפ,0.0014478764478764478
ען,0.006032818532818533
ק,0.00361969111969112
ה,0.003137065637065637
הי,0.003861003861003861
כה,0.01085907335907336
א,0.0033783783783783786
ןף,0.00916988416988417
ך,0.015926640926640926
סש,0.0007239382239382239
פע,0.005067567567567568
‎א,0.0007239382239382239
ע,0.002413127413127413
ן,0.013030888030888031
גש,0.0019305019305019305
ה,0.008204633204633204
רנ,0.006032818532818533
שפ,0.0014478764478764478
‏,0.004102316602316602
ינ,0.004826254826254826
הף,0.008445945945945946
גנ,0.005067567567567568
יה,0.00723938223938224
לף,0.006998069498069498
חו,0.004584942084942085
ףי,0.0074806949806949805
ט,0.004584942084942085
ף‏,0.010135135135135136
ומ,0.0012065637065637065
קר,0.002171814671814672
כף,0.0026544401544401543
ךק,0.0007239382239382239
‎י,0.0007239382239382239
דף,0.0007239382239382239
כע,0.009652509652509652
אפ,0.004826254826254826
גך,0.0007239382239382239
וז,0.0009652509652509653
םס,0.0014478764478764478
ןי,0.0014478764478764478
נ,0.004343629343629344
רצ,0.00048262548262548264
קע,0.008445945945945946
י‎,0.0019305019305019305
נף,0.00916988416988417
הע,0.0012065637065637065
רך,0.0019305019305019305
כפ,0.00723938223938224
‏מ,0.0007239382239382239
‎נ,0.004343629343629344
ך,0.006274131274131274
ךה,0.0111003861003861
כצ,0.00048262548262548264
יט,0.008928571428571428
פ‏,0.004826254826254826
ע,0.010617760617760617
נ‎,0.003137065637065637
נצ,0.0019305019305019305
סם,0.0012065637065637065
פב,0.0009652509652509653
י‏,0.0012065637065637065
יפ,0.0016891891891891893
ס,0.008445945945945946
שן,0.004826254826254826
מך,0.0074806949806949805
לכ,0.00048262548262548264
ונ,0.004584942084942085
ץפ,0.00024131274131274132
ך‏,0.0012065637065637065
ף,0.008928571428571428
כ,0.0007239382239382239
לן,0.00555019305019305
ב‏,0.00361969111969112
דט,0.0016891891891891893
‎ן,0.0026544401544401543
ח,0.006032818532818533
ה,0.0074806949806949805
הפ,0.0014478764478764478
חט,0.003861003861003861
ננ,0.01085907335907336
שף,0.006032818532818533
קך,0.0016891891891891893
קי,0.0009652509652509653
חם,0.004584942084942085
םפ,0.006756756756756757
מף,0.011341698841698842
ןח,0.002171814671814672
‏ו,0.0009652509652509653
ןפ,0.009652509652509652
ףז,0.0009652509652509653
דם,0.00555019305019305
וק,0.005308880308880309
לס,0.0014478764478764478
ע‏,0.0014478764478764478
,0.00024131274131274132
הצ,0.0019305019305019305
ע,0.0028957528957528956
‏‏,0.0033783783783783786
אנ,0.0007239382239382239
ןס,0.00723938223938224
ץצ,0.00024131274131274132
סך,0.0012065637065637065
ס‏,0.002171814671814672
ט‎,0.0009652509652509653
ב,0.008687258687258687
צ‏,0.009893822393822393
עא,0.002171814671814672
ףא,0.0026544401544401543
ףס,0.003137065637065637
ןא,0.0007239382239382239
חנ,0.004343629343629344
םמ,0.0009652509652509653
‏,0.0009652509652509653
מס,0.002413127413127413
פי,0.0026544401544401543
סמ,0.0012065637065637065
זג,0.00024131274131274132
יו,0.0007239382239382239
פ,0.002413127413127413
צא,0.002171814671814672
נ,0.002413127413127413
חן,0.0009652509652509653
םש,0.00723938223938224
ך,0.004584942084942085
‎‎,0.00361969111969112
זף,0.002413127413127413
חמ,0.0007239382239382239
זט,0.006032818532818533
‎,0.0019305019305019305
‏,0.002171814671814672
כש,0.0009652509652509653
,0.003137065637065637
אי,0.0014478764478764478
סנ,0.0065154440154440154
ש‏,0.0009652509652509653
חס,0.0026544401544401543
םק,0.004102316602316602
פא,0.00048262548262548264
טמ,0.004343629343629344
ףנ,0.0007239382239382239
לפ,0.0074806949806949805
רן,0.0028957528957528956
חד,0.0007239382239382239
וף,0.002171814671814672
טה,0.005067567567567568
הס,0.0014478764478764478
לנ,0.0016891891891891893
בצ,0.0009652509652509653
חי,0.0007239382239382239
ץע,0.0014478764478764478
בס,0.0014478764478764478
םנ,0.00555019305019305
מו,0.00024131274131274132
קמ,0.003861003861003861
אן,0.0009652509652509653
בז,0.002413127413127413
פ,0.00024131274131274132
ץן,0.002171814671814672
םך,0.0026544401544401543
חה,0.004343629343629344
ק,0.006756756756756757
עה,0.0012065637065637065
ךפ,0.0019305019305019305
כא,0.002413127413127413
דס,0.0009652509652509653
ע,0.0019305019305019305
כ‎,0.0009652509652509653
טן,0.0009652509652509653
פה,0.006032818532818533
ג,0.00048262548262548264
פ,0.00048262548262548264
ט,0.0019305019305019305
ר,0.00048262548262548264
שש,0.00048262548262548264
ח,0.0014478764478764478
ם,0.00024131274131274132
ב‎,0.00024131274131274132
ךו,0.005308880308880309
שס,0.0014478764478764478
דל,0.002413127413127413
ל‎,0.0026544401544401543
רח,0.0026544401544401543
שע,0.00024131274131274132
עש,0.0014478764478764478
ךא,0.0014478764478764478
מה,0.0014478764478764478
וס,0.005308880308880309
פצ,0.0016891891891891893
ףפ,0.0026544401544401543
ך‎,0.004584942084942085
צ,0.00024131274131274132
טז,0.00024131274131274132
א,0.002413127413127413
רק,0.0016891891891891893
בן,0.00024131274131274132
מ,0.00024131274131274132
זו,0.0009652509652509653
סף,0.0007239382239382239
מצ,0.0009652509652509653
סג,0.00024131274131274132
זס,0.0028957528957528956
ןק,0.00361969111969112
טס,0.0007239382239382239
ד‏,0.0019305019305019305
רכ,0.0016891891891891893
רע,0.00555019305019305
הט,0.0014478764478764478
נפ,0.0007239382239382239
דך,0.00048262548262548264
הא,0.0007239382239382239
זכ,0.0019305019305019305
בך,0.006032818532818533
‏ש,0.002171814671814672
בא,0.003137065637065637
קה,0.0009652509652509653
רף,0.0007239382239382239
פס,0.0012065637065637065
צה,0.008687258687258687
‎,0.002171814671814672
זד,0.00024131274131274132
צ,0.00024131274131274132
‎ף,0.002171814671814672
נס,0.003137065637065637
זך,0.00024131274131274132
ג,0.00048262548262548264
דפ,0.0026544401544401543
ךך,0.0014478764478764478
מז,0.00048262548262548264
חך,0.0009652509652509653
ץ,0.0026544401544401543
כז,0.00024131274131274132
שט,0.0019305019305019305
צע,0.0012065637065637065
ףר,0.00024131274131274132
ס,0.00048262548262548264
חפ,0.0007239382239382239
טו,0.0009652509652509653
פנ,0.0012065637065637065
פפ,0.0009652509652509653
‏ג,0.00024131274131274132
נ,0.002413127413127413
ןן,0.0014478764478764478
לד,0.00024131274131274132
ן‏,0.00048262548262548264
קא,0.0019305019305019305
ג,0.0009652509652509653
דה,0.003137065637065637
ץ‏,0.0007239382239382239
םט,0.0014478764478764478
סס,0.0019305019305019305
סי,0.0026544401544401543
יס,0.002171814671814672
מל,0.002171814671814672
חא,0.00024131274131274132
דצ,0.0009652509652509653
י,0.0014478764478764478
ץף,0.0012065637065637065
‏י,0.00024131274131274132
גכ,0.0016891891891891893
ן,0.0012065637065637065
ןנ,0.0014478764478764478
מש,0.00048262548262548264
ץק,0.0007239382239382239
זה,0.002171814671814672
י,0.00048262548262548264
ס,0.002171814671814672
א‏,0.0019305019305019305
ץד,0.00024131274131274132
רש,0.00024131274131274132
עמ,0.0007239382239382239
וא,0.0007239382239382239
ךף,0.00024131274131274132
וע,0.0007239382239382239
וכ,0.0012065637065637065
דק,0.00024131274131274132
טם,0.0016891891891891893
ן‎,0.0009652509652509653
ןז,0.00024131274131274132
יד,0.00048262548262548264
טי,0.0007239382239382239
ךד,0.00024131274131274132
טש,0.00048262548262548264
צל,0.00048262548262548264
ו,0.0007239382239382239
ק‏,0.002171814671814672
גצ,0.0014478764478764478
סז,0.0014478764478764478
י,0.00048262548262548264
ץט,0.0012065637065637065
םה,0.0007239382239382239
דא,0.0012065637065637065
מפ,0.0019305019305019305
ני,0.0026544401544401543
ךי,0.0009652509652509653
םצ,0.0007239382239382239
על,0.0014478764478764478
םי,0.00024131274131274132
ףע,0.00024131274131274132
גף,0.0019305019305019305
גא,0.0009652509652509653
יף,0.00048262548262548264
סע,0.00048262548262548264
פז,0.002413127413127413
עי,0.00048262548262548264
ךץ,0.0009652509652509653
לא,0.0009652509652509653
קס,0.002171814671814672
צק,0.00024131274131274132
ד‎,0.0007239382239382239
,0.0007239382239382239
צו,0.0016891891891891893
אך,0.00024131274131274132
ון,0.0007239382239382239
ב,0.00024131274131274132
ןט,0.00024131274131274132
יר,0.00024131274131274132
זמ,0.0016891891891891893
ךש,0.002413127413127413
מי,0.0009652509652509653
ץז,0.00024131274131274132
דנ,0.0019305019305019305
ףם,0.0014478764478764478
חק,0.0007239382239382239
כס,0.00048262548262548264
בה,0.0019305019305019305
כד,0.0007239382239382239
ר,0.00024131274131274132
ךט,0.0009652509652509653
צפ,0.00048262548262548264
ום,0.0009652509652509653
,0.00024131274131274132
ץה,0.0019305019305019305
זן,0.00024131274131274132
פ,0.00024131274131274132
‎ב,0.00048262548262548264
ג‏,0.0012065637065637065
‏,0.00024131274131274132
צן,0.0012065637065637065
ל,0.0007239382239382239
כ,0.0009652509652509653
ם,0.0012065637065637065
של,0.00024131274131274132
עך,0.00024131274131274132
ג,0.00048262548262548264
צנ,0.0028957528957528956
מ,0.00048262548262548264
יא,0.00024131274131274132
ל,0.00024131274131274132
קש,0.00024131274131274132
טך,0.00024131274131274132
פכ,0.00024131274131274132
א‎,0.0012065637065637065
‏ם,0.0007239382239382239
ה‎,0.00024131274131274132
‎ח,0.0012065637065637065
ץו,0.00024131274131274132
ר,0.00024131274131274132
פך,0.00024131274131274132
‏א,0.00024131274131274132
רה,0.0016891891891891893
ףב,0.0007239382239382239
ץא,0.0026544401544401543
חע,0.00048262548262548264
קף,0.00048262548262548264
םף,0.00048262548262548264
ל,0.00024131274131274132
ףד,0.00024131274131274132
רם,0.0019305019305019305
ףו,0.00024131274131274132
סה,0.00048262548262548264
שי,0.00024131274131274132
דן,0.00048262548262548264
‎ך,0.00048262548262548264
כמ,0.00048262548262548264
עס,0.00048262548262548264
ךנ,0.0012065637065637065
פ‎,0.00048262548262548264
‏ס,0.00024131274131274132
ס,0.00024131274131274132
ז,0.00024131274131274132
ב,0.00024131274131274132
‎ז,0.00024131274131274132
צש,0.00024131274131274132
ל,0.00048262548262548264
בב,0.00024131274131274132
ץג,0.00024131274131274132
כ,0.00048262548262548264
יש,0.00024131274131274132
ך,0.0007239382239382239
ב,0.00024131274131274132
קן,0.00048262548262548264
המ,0.00048262548262548264
‎ט,0.00024131274131274132
כ‏,0.0016891891891891893
וש,0.00024131274131274132
ך,0.00024131274131274132
‏ב,0.00048262548262548264
בש,0.00048262548262548264
ע,0.0009652509652509653
לל,0.0009652509652509653
כי,0.00024131274131274132
ןד,0.00024131274131274132
‏ף,0.0009652509652509653
לע,0.0007239382239382239
זי,0.00024131274131274132
גס,0.00024131274131274132
ם‏,0.0007239382239382239
נך,0.00024131274131274132
ף,0.00048262548262548264
טא,0.00048262548262548264
ף,0.00024131274131274132
יצ,0.0007239382239382239
ץל,0.00024131274131274132
שק,0.00048262548262548264
ץ‎,0.00024131274131274132
,0.00024131274131274132
בנ,0.00048262548262548264
‎ר,0.0009652509652509653
טכ,0.00048262548262548264
וו,0.00024131274131274132
ממ,0.00024131274131274132
ןצ,0.00048262548262548264
ץר,0.00024131274131274132
ה,0.00024131274131274132
ו,0.00048262548262548264
צ‎,0.00024131274131274132
‎ס,0.00048262548262548264
צר,0.00024131274131274132
ד,0.00048262548262548264
הש,0.00024131274131274132
בו,0.00024131274131274132
נ‏,0.0009652509652509653
ןמ,0.00024131274131274132
נא,0.00024131274131274132
וצ,0.00048262548262548264
נל,0.00048262548262548264
ח‎,0.0012065637065637065
אז,0.00024131274131274132
קצ,0.00024131274131274132
מכ,0.00024131274131274132
וט,0.00024131274131274132
ןל,0.00024131274131274132
עם,0.00024131274131274132
שח,0.00024131274131274132
גע,0.00024131274131274132
הן,0.0007239382239382239
מד,0.00024131274131274132
מ,0.0007239382239382239
ד,0.00024131274131274132
בט,0.00024131274131274132
שץ,0.00024131274131274132
קנ,0.00024131274131274132
עט,0.00024131274131274132
ץ,0.00024131274131274132
עו,0.00048262548262548264
אט,0.00024131274131274132
חש,0.00024131274131274132
מנ,0.00024131274131274132
‎ע,0.00048262548262548264
וך,0.00024131274131274132
גה,0.00024131274131274132
ץש,0.00024131274131274132
אד,0.00024131274131274132
נן,0.00024131274131274132
‏ן,0.00024131274131274132
ש,0.00024131274131274132
טט,0.00024131274131274132
מע,0.00024131274131274132
‎‏,0.00024131274131274132
שך,0.00024131274131274132
ם,0.00024131274131274132
ףל,0.00048262548262548264
‏ט,0.00024131274131274132
ר‎,0.00024131274131274132
קד,0.00024131274131274132
ךם,0.00048262548262548264
לצ,0.00024131274131274132
ה,0.00024131274131274132
ו,0.00024131274131274132
ע‎,0.00048262548262548264
נה,0.00024131274131274132
